9|7|10|0|6 , file disclosure vulnerability information exposure
3|9|4|7|0|6 , gain access project file recover database credential gain access database server
0|6|7 , denial service incorrect channel status inquiry
3|9|7|6|0|1 , forge message bypass authentication xml signature wrapping attack
0|6|7|9 , stack base buffer overflow execute arbitrary code craft media file
0|6|7 , arbitrary code execution arbitrary execution
3|9|7|6|0|1 , bypass intend access restriction tcp traffic port
9|7|10|0|6 , properly set acl c:\programdata\acronis directory achieve arbitrary code execution place dll
9|7|10|0|6 , improper access control edit avatar picture user arbitrary content
9|7|10|0|6 , obtain sensitive address information bypass aslr protection mechanism predictability location cpu global descriptor table
0|6|7 , properly handle gate gain privilege gate entry
3|9|4|7|0|6 , compromise user account
0|6|7 , execute arbitrary java code serialize datum jms port
9|7|10|0|6 , request /update_applist.asp
0|6|7 , properly initialize memory processing size attribute select element trigger invalid memory write operation denial service application crash execute arbitrary code large integer attribute value
0|6|7 , properly validate execute arbitrary code craft application
4|0|6|7 , hardcode credential execute arbitrary code device
0|6|7 , write arbitrary file symlink attack patch file
0|6|7 , 00 sequence read write arbitrary file craft input application domdocument load method finfo_file hash_hmac_file filename\0.xml read .xml file
4|0|6|7 , local privilege escalation execute arbitrary command inject dll galaxyclient.exe
0|6|7 , command injection
0|6|7 , ldap ftd affected device reload denial service dos condition improper parsing ldap packet craft ldap packet ber affected device reload dos condition
0|6|7 , execute denial service cfg['allowarbitraryserver']=true
5 , attempt excessive memory allocation
9|7|10|0|6 , read php source code unspecified vector
3|9|7|6|0|1 , escalation privilege local access
5 , denial service dos condition dos condition prevent normal management operation
10 , insecure permission
0|6|7|10 , man the- bypass tls protection network position client registry block starttls command stripping attack
0|6|7 , overwrite cache server ttl value record query trigger continue resolvability revoke domain ghost domain
5 , denial of- dos crash c2 server thread block beacon communication
3|9|4|7|0|6 , logic error plaintext storage share password
0|6|7|9 , bypass intend restriction javascript api execution unspecified vector
0|6|7 , process data
0|6|7 , capsule signature validation flash modified uefi bios
0|6|7 , host header injection http cache poisoning firewall bypass
9|7|10|0|6 , obtain potentially sensitive software version information read verbose response datum request unspecified url
0|6|7 , denial of- improper input validation terminate privileged helper application
9|7|10|0|6 , information disclosure improperly provide kernel information
0|6|7|9 , elevation privilege execute arbitrary code gain local access elevate capability
3|9|4|7|0|6 , default pwlen value guess password
9|7|10|0|6 , properly implement domain controller communication discover credential elevation privilege
0|6|7 , denial service specially craft request
0|9 , post parameter https change associate password
9|7|10|0|6 , read arbitrary file craft path
9|7|10|0|6 , obtain sensitive information uninitialized kernel heap memory location sg_get_request_table ioctl
10 , modify dns record zone creation new record machine self register dns ldb_qsort dns_name_compare read memory prior list dns entry follow invalid memory
9|7|10|0|6 , obtain sensitive information non existent file image parameter
0|6|7|9 , crossdomain.xml restrict access cross domain access cross domain attack unspecified vector
0|6|7 , outside range representable value type unsigned char undefined behavior issue denial service application crash unspecified impact craft image
9|7|10|0|6 , way hash password output text obtain sensitive information brute force attack hash string
0|6|7|9 , denial service system crash gain privilege craft application
9|7|10|0|6 , view sensitive information transmission sensitive information request send request vulnerable device view sensitive information
9|7|10|0|6 , obtain sensitive password information craft url
3|9|7|6|0|1 , connect port execute 86 attention
0|6|7 , properly perform cast unspecified variable execute arbitrary code craft web site
0|6|7|9 , bypass security validation connect unauthorized server infrastructure vlan insufficient security requirement lldp send craft lldp packet adjacent subnet connect unauthorized server infrastructure vlan unauthorized connection cisco application policy infrastructure controller apic join host endpoint
0|6|7 , properly interact x window system denial service application crash
0|6|7 , properly handle object memory execute arbitrary code access object properly initialize remote code execution
0|6|7 , /member reg.asp page
0|6|7 , emoji skin- denial service application crash craft emoji character sequence
0|6|7 , read write datum file disk /goform edit_lf_process file content
9|7|10|0|6 , read sensitive information
3|9|7|6|0|1 , specially craft http request response gain access device management page
0|6|7 , insecure direct object reference idor manipulate employee id specific parameter arbitrary access employee datum modify obtain administrator privilege execute arbitrary command
3|9|4|7|0|6 , compromise user account
0|6|7 , properly verify signature jar file trick user execute code
0|6|7 , gain root privilege failure verify argument mount helper dbus
0|6|7 , denial service device reload craft tcp packet
9|7|10|0|6 , disclose sensitive information visit malicious page open malicious file lack proper validation user supply datum read past end allocate object execute code
0|6|7 , dll injection execute arbitrary code careful placement malicious dll
2 , unencrypted signal communication predictability roll desynchronize abus secvest wireless
0|6|7 , incomplete packet datum validation memory access kernel panic unpredictable result
9|7|10|0|6 , obtain sensitive information incorrect permission validation
9|7|10|0|6 , learn password configure ldap directory response request resource
0|6|7 , spoof output gnupg send file --status fd 2
9|7|10|0|6 , administration ui svm obtain sensitive information unspecified vector
0|6|7 , validate certain size parameter obtain sensitive information kernel memory craft ioctl
0|6|7 , execute arbitrary code python file content json file
9|7|10|0|6 , text message preview obtain sensitive information
0|6|7 , read arbitrary file symlink attack index.html index.class index.pl index.php index.pyc index.py
0|6|7 , untrusted search path gain privilege trojan horse dll unspecified directory
3|9|7|6|0|1 , properly handle user token denial service intermittent mainapp hang craft management interface connection request
9|7|10|0|6 , lib cli lib backup cli obtain sensitive information
