7|9|6|0|10 , local privilege escalation
3|7|6|9|1|0 , bypass authentication
7|9|6|0|10 , access datum outside permission level
7|9|6|0|10 , information leak access file exist filesystem
7|6|4|0 , cookie session datum bypass authentication
7|6|0 , insecure library loading dll hijacking remote code execution
3|7|6|9|1|0 , change configuration setting
3|7|6|9|1|0 , gain access target account
7|6|0 , arbitrary write
7|6|0 , upload execute arbitrary code access
7|6|0 , denial service daemon crash
7|6|9|0 , restore old version
7|6|9|0 , gain privilege
7|9|6|0|10 , control gain nt authority\system access
7|6|0 , command injection attack execute arbitrary shell command
3|7|6|9|1|0 , bypass lockscreen
7|9|6|0|10 , obtain sensitive memory information
7|6|0 , xml external entity xee
7|6|0 , search path gain privilege
3|10 , guarantee confidentiality integrity
7|6|0 , denial service analysis engine process outage flood jumbo frame
7|6|0 , bypass navigation restriction
7|9|6|0|10 , obtain information compromise user system information disclosure vulnerability
7|9|6|0|10 , guess key
7|6|0 , denial service dos condition affect system dos condition interruption media traffic
3|7|9|6|4|0 ,
3|7|6|4|0 , know valid user application brute force
7|6|0 , by- gnu linker ld program crash
7|6|0 , open redirect redirect user arbitrary web site phishing attack
7|6|4|0 , hard code password change system password
7|9|6|0|10 , obtain sensitive information kernel stack memory
7|9|6|0|10 , man the- obtain sensitive information
7|6|0 , obtain sensitive information host os memory denial service host os
7|9|6|0|10 ,
7|6|0 , remote command execution
7|9|6|0|10 , remote disclosure information environment variable bound service detail serving static content war
7|6|0 , crash certain
7|6|4|0 , encrypt password datum decrypt sensitive datum
5 , memory exhaustion denial service
7|6|0 , arbitrary code execution
7|6|0 , execute arbitrary code
5 , denial service dos system file description allocate free application eventually restart
7|6|4|0 ,
7|6|0 , gain privilege
7|6|0 , bypass site isolation
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , compromise oracle weblogic server unauthorized access critical datum complete access
3|7|6|9|1|0 , bypass authentication
7|6|0 , man the- spoof password prompt
3|1 , privilege escalation gain access build container utilize raw device underlie escalate privilege data confidentiality integrity system availability
7|6|0 , denial service cpu consumption
7|9|6|0|10 , discover authentication token
7|6|0 , hijack clicking action hijack victim click action launch attack victim
7|6|0 , denial service null pointer dereference web server crash
7|9|6|0|10 , restore arbitrary virtual machine obtain sensitive information
3|7|6|9|1|0 , bypass authentication
9|8 , download malicious update
7|6|0 , privilege escalation
3|7|6|9|1|0 , authentication bypass
7|6|4|0 , obtain sensitive information query grafana api
2 , sensitive security critical
7|6|9|0 , affect confidentiality integrity
7|6|0 , overwrite archive
7|9|6|0|10 , remote code execution
5 , memory leak denial rsyslogd daemon service
0 , bypass piv verification
3|7|6|9|1|0 , bypass intend token authentication establish login session
7|9|6|0|10 , obtain sensitive information kernel stack memory
7|6|0 , launch non exported activity
7|9|6|0|10 , mount attack system
7|6|9|0 , execute arbitrary code
7|6|0 , web cache poisoning
7|9|6|0|10 , view artifact user
3|7|6|9|1|0 , file deletion
7|6|0 , integrated management controller bypass intend access restriction
5 , denial service dos exhaustion file descriptor restart specific process interruption service
7|9|6|0|10 , obtain potentially sensitive information
7|6|0 , denial service denial service
7|9|6|0|10 , security information
10 , information disclosure retrieve value password salt
7|9|6|0|10 , discover real pid value
7|6|9|0 , access child groups membership inheritance
7|6|0 , denial service heap buffer overflow scanning process crash denial service
3|9|1|0 , spoof vulnerability
3|7|6|9|1|0 , bypass authentication
7|6|0 , server injection achieve remote code execution
5 , destroy unity webapp context firefox crash spin event loop
7|6|9|0|10 , discover cleartext information
7|6|0 , inject conversation text
7|6|0 , achieve arbitrary code execution
7|6|0 , execute arbitrary code arbitrary application download execute code
7|6|0 , write outside target system escape buildroots
3|7|6|9|1|0 , bypass authentication
3|9|1|0 , bypass saml authentication confidentiality integrity system availability
7|6|0 , resource exhaustion remote denial service
7|6|4|0 , firmware downgrade install old firmware version
7|9|6|0|10 , programmatically disable enable wi
7|6|0 , denial service memory consumption application crash
7|6|0 , denial service oops
3|7|6|9|1|0 , security bypass vulnerability
7|9|6|0|10 , oracle protection overwrite incorrect master key byte decrypt tls ciphertext datum
3|7|6|9|1|0 , profile reset password admin blog gain unauthorised access
5 , remote code execution remote code execution
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , read modify messaging information
5 , denial service deadlock allocation new system chunk
7|6|0 , connect different host security implication
7|9|6|0|10 , obtain sensitive information process heap memory
3|7|6|9|1|0 , privilege escalation delete download protect log datum
7|6|0 , tampering vulnerability
7|6|0 , remote code execution
7|9|6|0|10 , disclose sensitive information execute code
7|6|4|0 , discover hardcode credential
5 , denial service
7|6|0 , safe temporary file overwrite arbitrary file
7|6|0 , spoof encrypt content
7|6|0 , browser editing gain remote code execution
7|6|0 , local file inclusion
3|7|9|6|4|0 , remotely stream users computer brute force remotely control stream
7|9|6|0|10 , sensitive cookie
7|6|0 , gain code execution
7|9|6|0|10 , achieve arbitrary code execution
7|6|0 , foomatic- execute arbitrary code
7|6|0 , stack base buffer overflow remote code execution disclosure modification information crash
7|9|6|0|10 , obtain sensitive information
10 , escalation privilege local access
7|6|0 , remote code execution administrator
2 , cleartext transmission sensitive information disclosure information
7|9|6|0|10 , dump memory content local information disclosure
3 , obtain password device
7|9|6|0|10 , information disclosure
7|6|0 ,
7|6|0 , unauthorized party library load
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , directory traversal read arbitrary file
7|9|6|0|10 , access token command line obtain sensitive information
3|7|6|9|1|0 , bypass authentication execute arbitrary ipmi command
7|6|0 , execute arbitrary code
9|0 , session fixation
5 , limit number tcp client limit number simultaneous connection grow number simultaneous connection
7|9|6|0|10 , information exposure access system configuration information
7|6|9|0|10 , read arbitrary local file
3|7|6|9|1|0 , bypass authentication access control channel data information leak
7|6|0 , overtake administrator x11 session
7|9|6|0|10 , index display user e mail address
7|9|6|0|10 , discover private contact information
3|7|6|9|1|0 , information disclosure launch attack information disclosure
7|6|0 , denial service management server crash
7|6|0 , privilege elevation craft specific packet gain elevate privilege
7|9|6|0|10 , exfiltrate critical setup information
3|7|9|6|4|0 , obtain old credential configure plugin
7|9|6|0|10 , set cleartext password login admin
7|6|0 , search path gain privilege
7|9|6|0|10 , privilege escalation
7|9|6|0|10 , obtain sensitive information
3|7|6|9|1|0 , obtain access brute force approach
3|7|9|6|4|0 , discover credential
7|9|6|0|10 , disclose private sensitive information
7|6|0 , extraneous username datum impersonation attack
7|9|6|0|10 , escalate privilege local access
7|6|0 , archive zip reader open panic
7|6|0 , establish temporary filename filename exist overwrite file read file content
7|9|6|0|10 , unauthorized script access web interface
7|9|6|0|10 , information disclosure
7|6|0 , execute arbitrary code
7|6|0 , search path gain privilege
7|6|0 , open redirect redirect user arbitrary web site phishing attack
7|6|0 , execute arbitrary code force double ognl evaluation
7|6|9|0 , obtain access
3|7|9|6|4|0 , unauthorized access credential
7|9|6|0|10 , obtain sensitive information process memory
3|7|6|9|1|0 , unverified password change unverified device configuration change unverified change user password
7|9|6|0|10 , xml external entity xxe read arbitrary file
7|6|0 , unspecified impact xml injection
7|6|0 , sigsegv
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , secret chat message
7|9|6|0|10 , read setting
7|6|9|0 , upload malicious file automatically execute server
7|6|0 , execute arbitrary code
7|6|9|0 , execute arbitrary code bypass intend access restriction
7|6|0 , command command injection send http post request create command string remotely execute code
3|7|6|4|0 , brute force attack
7|9|6|0|10 , obtain sensitive information
3|7|6|9|1|0 , authentication bypass
7|6|0 , attack vector
7|6|9|0 , crash system escalate privilege
7|6|0 , unix symbolic link symlink set permission intend specific binary
7|6|0 , open redirect redirect user arbitrary web site phishing attack
7|6|4|0 , modify credential
7|6|0 , escalation privilege
7|6|0 , search search path path interception search order hijacking plant malicious reg.exe command
7|6|0 , untrusted search path gain privilege
5 , denial service memory consumption
7|6|0 , denial service denial service
7|6|0 , argument injection attack
7|9|6|0|10 , attack system
3|7|6|4|0 , information disclosure project milestone
7|9|6|0|10 , credential disclosure
3|7|6|9|1|0 , spoof user identity
7|6|0 , command injection
3|7|6|9|1|0 , execute arbitrary command
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , read datum
7|6|0 , execute arbitrary code mac disabled
7|6|0 , improper input validation cause dos condition product
3|7|2|6|9|4|0 , account takeover
7|6|0 , execute malicious code
7|9|6|0|10 , information exposure
3|7|6|9|1|0 , bypass 2 factor authentication
7|6|0 , denial service device reset
7|6|0 , file rename
7|6|0 , read subset available datum denial service uninitialized memory access
