9|10|0|6|7 , file disclosure vulnerability information exposure
0|6|4|7 , ftp service
0|6|7 , denial service unspecified impact
0|6|7 , directory traversal attack execute arbitrary local file
9|10|0|6|7 , read arbitrary attachment
3|9|1|0|6|7 , remote code execution compromise affect system
0|6|7 , resource exhaustion persistent denial service
0|6|7 , bound exploit heap corruption
9|10|0|6|7 , obtain asp source code
3|9|1|0|6|7 , change administrative password
9|10|0|6|7 , information disclosure
0|9|6|7 , denial service reboot
3|9|1|0|6|7 , bypass authentication obtain administrative access
0|6|7 , arbitrary code execution
9|10|0|6|7 , user id
9|10|0|6|7 ,
0|6|7 , denial service temporary gateway outage
0|6|7 , execute arbitrary command obtain oxo resource
9|10|0|6|7 , obtain sensitive information jsp source code exposure failure data capture trace
5 , memory leak
0|6|7 , integer overflow heap overwrite
9|10|0|6|7 , obtain sensitive ticket information
3|9|1|0|6|7 , bypass normal login process
9|10|0|6|7 , obtain sensitive debugging information
9|10|0|6|7 , delete arbitrary file
0|9|1|3 , ui spoofing
3|9|1|0|6|7 , bypass security restriction access server
0|6|7 , unrestricted file upload php code execution
10 , send message parent process click play attacker control permission
0|6|7 , denial service dos condition affect device crash dos condition
0|6|7 , websocket request steal datum denial service
0|6|7 , bypass detection malware
0|6|7 , arbitrary code execution
0|6|7 , denial service exception daemon crash
3|9|1|0|6|7 , access bypass
9|10|0|6|7 , read modify
0|6|7 , bypass packet filter rule pass host
3|9|1|0|6|7 , bypass authentication read write configuration file
10 , bypass access restriction obtain customer information
3|9|1|0|6|7 , view unauthorized information virtual machine perform permitted operation gain visibility perform action virtual machine
3|9|1|0|6|7 ,
9|10|0|6|7 , programmatically disable enable wi
0|9|6|7 , improper access control bus
0|6|7 , execute arbitrary code
9|10|0|6|7 , read notification center notification certain pair device
0|6|4|7 ,
3|0|6|4|7 , launch brute force login attempt
9|10|0|6|7 , obtain sensitive information log msg leak
0|6|7 , bound memory read
9|10|0|6|7 , leak encryption key information
0|6|7 , low descender domain spoofing
3|0|6|4|7 , reclaim host role host role access join webex meeting acquire host role
0|6|7 , memory corruption memory corruption
0|6|7 , validate navigation request
0|6|7 , force shutdown remote system shut system
9|10|0|6|7 , obtain internal ip address pod
9|10|0|6|7 , obtain sensitive information
0|6|7 , overwrite arbitrary file
0|9|6|7 , modify ucd object affect behavior legitimately trigger process
0|6|7 , arbitrary code execution
0|6|7 , construct document contain hyperlink point location executable
0|6|7 , bypass intend policy restriction
0|6|7 , perform import wgimportsources wiki
3|9|1|0|6|7 , authentication bypass
9|10|0|6|7 , gain access source code
0|6|7 , execute arbitrary code
9|10|0|6|7 , corrupt share memory segment denial service dos condition device reload
9|10|0|6|7 , access recording
9|10|0|6|7 , gain privilege obtain sensitive information
9|10|0|6|7 , obtain sensitive information externally usable password
0|6|7 , rename system processing denial service system crash
0|6|7 , delete arbitrary file
0|9|6|7 , affect confidentiality integrity
9|10|0|6|7 , affect confidentiality
0|6|7 , overwrite arbitrary file
0|6|7 , denial service infinite loop cpu consumption
9|10|0|6|7 , disclose sensitive information execute code
0|6|7 , content spoofing
9|10|0|6|7 ,
9|10|0|6|7 , gain privilege
3|9|1|0|6|7 , access system
9|10|0|6|7 , information disclosure
3|9|1|0|6|7 , bypass authentication
9|10|0|6|7 , access datum outside permission level
9|10|0|6|7 , information leak access file exist filesystem
0|6|4|7 , cookie session datum bypass authentication
0|6|7 , insecure library loading dll hijacking remote code execution
3|9|1|0|6|7 , change configuration setting
3|9|1|0|6|7 , gain access target account
0|6|7 , arbitrary write
0|6|7 , upload execute arbitrary code access
0|6|7 , denial service daemon crash
0|9|6|7 , restore old version
0|9|6|7 , gain privilege
9|10|0|6|7 , control gain nt authority\system access
3|9|1|0|6|7 , bypass lockscreen
0|6|7 , command injection attack execute arbitrary shell command
9|10|0|6|7 , obtain sensitive memory information
0|6|7 , xml external entity xee
0|6|7 , search path gain privilege
10|3 , guarantee confidentiality integrity
0|6|7 , denial service analysis engine process outage flood jumbo frame
0|6|7 , bypass navigation restriction
9|10|0|6|7 , obtain information compromise user system information disclosure vulnerability
9|10|0|6|7 , guess key
0|6|7 , denial service dos condition affect system dos condition interruption media traffic
0|6|7 , bypass detection malware
0|6|7 , overwrite arbitrary file symlink attack
3|9|0|6|4|7 ,
3|0|6|4|7 , know valid user application brute force
0|6|7 , by- gnu linker ld program crash
0|6|7 , open redirect redirect user arbitrary web site phishing attack
0|6|4|7 , hard code password change system password
9|10|0|6|7 , obtain sensitive information kernel stack memory
9|10|0|6|7 , man the- obtain sensitive information
0|6|7 , obtain sensitive information host os memory denial service host os
9|10|0|6|7 ,
0|6|7 , remote command execution
9|10|0|6|7 , remote disclosure information environment variable bound service detail serving static content war
0|6|7 , crash certain
0|6|4|7 , encrypt password datum decrypt sensitive datum
5 , memory exhaustion denial service
0|6|7 , arbitrary code execution
0|6|7 , execute arbitrary code
5 , denial service dos system file description allocate free application eventually restart
0|6|4|7 ,
0|6|7 , gain privilege
0|6|7 , denial service linux host os reboot
0|6|7 , bypass site isolation
9|10|0|6|7 , obtain sensitive information
9|10|0|6|7 , compromise oracle weblogic server unauthorized access critical datum complete access
3|9|1|0|6|7 , bypass authentication
0|6|7 , unrestricted file upload upload execute arbitrary file
0|6|7 , add administrative user gain privilege
0|6|7 , man the- spoof password prompt
1|3 , privilege escalation gain access build container utilize raw device underlie escalate privilege data confidentiality integrity system availability
0|6|7 , denial service cpu consumption
0|6|7 , hijack clicking action hijack victim click action launch attack victim
9|10|0|6|7 , discover authentication token
3|9|1|0|6|7 , bypass authentication
0|6|7 , denial service null pointer dereference web server crash
9|10|0|6|7 , restore arbitrary virtual machine obtain sensitive information
9|8 , download malicious update
0|6|7 , privilege escalation
3|9|1|0|6|7 , authentication bypass
0|6|4|7 , obtain sensitive information query grafana api
0|6|7 , execute arbitrary code
2 , sensitive security critical
0|6|7 , input validation modify form field value
0|9|6|7 , affect confidentiality integrity
0|6|7 , overwrite archive
9|10|0|6|7 , obtain sensitive information brute force attack
9|10|0|6|7 , remote code execution
5 , memory leak denial rsyslogd daemon service
9|10|0|6|7 , obtain sensitive form information autocomplete information disclosure
0 , bypass piv verification
3|9|1|0|6|7 , bypass intend token authentication establish login session
0|6|7 , launch non exported activity
9|10|0|6|7 , obtain sensitive information kernel stack memory
9|10|0|6|7 , mount attack system
0|9|6|7 , execute arbitrary code
0|6|7 , execute arbitrary command
0|6|7 , web cache poisoning
9|10|0|6|7 , view artifact user
3|9|1|0|6|7 , file deletion
3|9|1|0|6|7 , spoof trusted ssl certificate man middle
0|6|7 , open redirect redirect user arbitrary web site phishing attack
0|6|7 , integrated management controller bypass intend access restriction
5 , denial service dos exhaustion file descriptor restart specific process interruption service
0|6|7 , denial service trap
9|10|0|6|7 , obtain potentially sensitive information
0|6|7 , denial service null pointer dereference application crash
0|6|7 , denial service denial service
9|10|0|6|7 , security information
10 , information disclosure retrieve value password salt
0|9|6|7 , access child groups membership inheritance
9|10|0|6|7 , discover real pid value
0|6|7 , denial service heap buffer overflow scanning process crash denial service
0|9|1|3 , spoof vulnerability
3|9|1|0|6|7 , bypass authentication
0|6|7 , execute arbitrary code access craft cascading style sheet css unspecified vector
0|6|7 , server injection achieve remote code execution
5 , destroy unity webapp context firefox crash spin event loop
9|10|0|6|7 , discover cleartext information
0|6|7 , inject conversation text
0|6|7 , achieve arbitrary code execution
3|9|1|0|6|7 , bypass authentication
0|6|7 , execute arbitrary code arbitrary application download execute code
0|6|7 , write outside target system escape buildroots
0|9|1|3 , bypass saml authentication confidentiality integrity system availability
0|6|7 , resource exhaustion remote denial service
0|6|4|7 , firmware downgrade install old firmware version
9|10|0|6|7 , programmatically disable enable wi
0|6|7 , denial service memory consumption application crash
0|6|7 , denial service oops
0|6|7 , denial service toolbar crash
3|9|1|0|6|7 , security bypass vulnerability
3|9|1|0|6|7 , profile reset password admin blog gain unauthorised access
9|10|0|6|7 , oracle protection overwrite incorrect master key byte decrypt tls ciphertext datum
5 , remote code execution remote code execution
9|10|0|6|7 , obtain sensitive information
9|10|0|6|7 , read modify messaging information
5 , denial service deadlock allocation new system chunk
0|6|7 , connect different host security implication
9|10|0|6|7 , obtain sensitive information process heap memory
3|9|1|0|6|7 , privilege escalation delete download protect log datum
0|6|7 , tampering vulnerability
0|6|7 , remote code execution
9|10|0|6|7 , disclose sensitive information execute code
0|6|4|7 , discover hardcode credential
5 , denial service
0|6|7 , safe temporary file overwrite arbitrary file
0|6|7 , spoof encrypt content
0|6|7 , browser editing gain remote code execution
0|6|7 , local file inclusion
3|9|0|6|4|7 , remotely stream users computer brute force remotely control stream
